listing_id,title,price,surface_m2,pieces,bedrooms,bathrooms,neighborhood,city,price_per_m2,has_garden,has_terrace,has_garage,has_air_conditioning,has_central_heating
8386965.0,Appartement neuf de deux chambres,1284.0,90.0,3.0,2.0,2.0,Neighborhood 1,Tucson,14.266666666666667,0,0,1,0,0
8105695.0,"Appartement à louer à Casablanca Finance City.
Superficie 68...",963.0,68.0,2.0,1.0,1.0,Neighborhood 11,Charlotte,14.161764705882353,0,0,1,0,0
8040949.0,Villa jumelée de prestige 4 chambres à louer – Prestigia Vil...,3103.0,480.0,5.0,4.0,4.0,Neighborhood 19,Charlotte,6.464583333333334,0,0,1,0,0
8357795.0,Louez cet appart meublé à la ville verte,2140.0,175.0,5.0,3.0,3.0,Neighborhood 1,Nashville,12.228571428571428,0,0,1,0,0
8389714.0,À louer villa pinède 4 chambres,4494.0,400.0,7.0,5.0,3.0,Neighborhood 9,Cincinnati,11.235,0,0,1,0,0
7820489.0,Élégant appartement meublé à louer,1872.5,110.0,4.0,3.0,2.0,Neighborhood 11,St. Louis,17.022727272727273,0,0,1,0,0
8390645.0,"Louez cet appartement à El Mansouria. 
Surface totale 80 m²...",802.5,80.0,3.0,2.0,1.0,,,10.03125,0,0,1,0,0
8387754.0,Studio meublé haut standing les princesses,802.5,45.0,2.0,1.0,1.0,Neighborhood 18,Charlotte,17.833333333333332,0,0,1,0,0
8384143.0,Spacieuse villa a Louer Vide,4815.0,600.0,7.0,5.0,3.0,Neighborhood 14,Tucson,8.025,0,0,1,0,0
8388988.0,"Très bel DUPLEX en location à Guéliz. 
6 pièces confortables...",1926.0,145.0,6.0,3.0,3.0,Neighborhood 6,Tucson,13.282758620689656,0,0,1,0,0
8358129.0,Très jolie appartement vide à Samlalia. 95 mètre,856.0,95.0,2.0,2.0,1.0,Neighborhood 23,Tucson,9.010526315789473,0,0,1,0,0
8341304.0,Location jolie appartement vide à semlalia. 100 mètre,856.0,100.0,2.0,2.0,1.0,Neighborhood 23,Tucson,8.56,0,0,1,0,0
8390673.0,Appartement marina,2782.0,250.0,3.0,2.0,2.0,Neighborhood 12,Charlotte,11.128,0,0,1,0,0
8390664.0,À louer – Magnifique appartement meublé à Jenan El Ali,1284.0,85.0,7.0,2.0,2.0,Neighborhood 16,Tucson,15.105882352941176,0,0,1,0,0
8387507.0,Studio Palmier. 1 belle chambre. Meublé,749.0,50.0,1.0,1.0,1.0,Neighborhood 24,Charlotte,14.98,0,0,1,0,0
8390667.0,Studio cfc meuble,963.0,60.0,1.0,1.0,1.0,Neighborhood 11,Charlotte,16.05,0,0,1,0,0
8390651.0,Très bel appartement en location à Triangle d'Or. 2 belles c...,2140.0,114.0,3.0,2.0,2.0,Neighborhood 30,Charlotte,18.771929824561404,0,0,1,0,0
8390631.0,Tres joli appartement meublé à louer sur cfc avec piscine et...,1551.5,140.0,3.0,2.0,2.0,Neighborhood 11,Charlotte,11.082142857142857,0,0,1,0,0
8370893.0,Duplex meublé,2140.0,170.0,6.0,4.0,2.0,Neighborhood 1,Nashville,12.588235294117647,0,0,0,0,0
8220123.0,"Superbe appartement à louer – Hay Riad, Rabat",1284.0,130.0,4.0,3.0,2.0,Neighborhood 8,Cincinnati,9.876923076923077,0,0,1,0,0
8361406.0,Appartement meublé en location,588.5,85.0,3.0,2.0,1.0,Neighborhood 4,St. Louis,6.923529411764706,0,0,0,0,0
8384202.0,"Magnifique Bureau en location 
Aviation Rabat",1658.5,132.0,,,1.0,Neighborhood 3,Cincinnati,12.56439393939394,0,0,0,0,0
7699554.0,Bel appartement meublé à vendre à Darbouazza,1284.0,126.0,3.0,2.0,2.0,,,10.19047619047619,0,0,1,0,0
8383036.0,Trés jolie Villa meublé de trois chambres,5350.0,250.0,4.0,3.0,3.0,Neighborhood 19,Tucson,21.4,0,0,1,0,0
8386967.0,Appartement de deux chambres avec belle terrasse,1284.0,124.0,3.0,2.0,2.0,Neighborhood 4,Tucson,10.35483870967742,0,0,1,0,0
8308177.0,Villa a Louer meublé dans un petit domaine,2889.0,300.0,7.0,3.0,2.0,Neighborhood 16,Tucson,9.63,0,0,1,0,0
8390701.0,Appartement vide 64m² Palmier 7300 Dh,781.1,64.0,3.0,2.0,1.0,Neighborhood 24,Charlotte,12.2046875,0,0,1,0,0
8343214.0,Bel appartement avec jardin dans un domaine,1016.5,80.0,3.0,2.0,2.0,Neighborhood 3,Tucson,12.70625,0,0,1,0,0
8143607.0,Belle villa a Louer en habitation,4440.5,300.0,5.0,4.0,4.0,Neighborhood 18,Tucson,14.801666666666666,0,0,1,0,0
8194836.0,Location d'une chambre à Al Kouass. 1 Pièce. Bien meublé,401.25,30.0,1.0,,1.0,Neighborhood 2,Cincinnati,13.375,0,0,0,0,0
8390700.0,Très belle opportunité à ne pas,2675.0,300.0,6.0,4.0,4.0,Neighborhood 8,Tucson,8.916666666666666,0,0,0,0,0
8313604.0,Belle villa de plain pied a 10mn de Marrakech,4280.0,400.0,5.0,4.0,4.0,Neighborhood 16,Tucson,10.7,0,0,1,0,0
8383834.0,Villa vide à Californie,4066.0,500.0,5.0,4.0,3.0,Neighborhood 10,Charlotte,8.132,0,0,0,0,0
8345906.0,Tout neuf jamais habité Riviera,963.0,50.0,2.0,1.0,2.0,Neighborhood 26,Charlotte,19.26,0,0,1,0,0
8276777.0,Villa à Louer à Boubana,2675.0,300.0,7.0,5.0,2.0,Neighborhood 9,St. Louis,8.916666666666666,0,0,1,0,0
8372887.0,Appartement meublé cfc,1498.0,84.0,3.0,2.0,2.0,Neighborhood 11,Charlotte,17.833333333333332,0,0,1,0,0
7370698.0,Villa àlouer bureau au habitation,2354.0,310.0,6.0,4.0,4.0,Neighborhood 8,Cincinnati,7.593548387096774,0,0,1,0,0
8380318.0,"Studio en location longue duree 
hermitage",856.0,68.0,2.0,1.0,1.0,Neighborhood 16,Charlotte,12.588235294117647,0,0,1,0,0
8387101.0,Appartement Racine Dernier Etage,1819.0,180.0,3.0,3.0,2.0,Neighborhood 19,Charlotte,10.105555555555556,0,0,1,0,0
8385734.0,Superbe appartement meublé – Location mensuelle,749.0,48.0,2.0,1.0,1.0,Neighborhood 23,Charlotte,15.604166666666666,0,0,1,0,0
8374140.0,Appartement meublé,1498.0,100.0,3.0,2.0,3.0,Neighborhood 11,Charlotte,14.98,0,0,1,0,0
8345914.0,Tout neuf emplacement stratégique Riviera/Ghandi,963.0,55.0,2.0,1.0,2.0,Neighborhood 22,Charlotte,17.509090909090908,0,0,1,0,0
8312306.0,Villa 540m A La Ville Vert Bouskoura,3745.0,540.0,7.0,6.0,4.0,Neighborhood 1,Nashville,6.935185185185185,0,0,0,0,0
8245387.0,Location villa meublée Bouskoura casablanca,3745.0,550.0,7.0,4.0,3.0,Neighborhood 1,Nashville,6.8090909090909095,0,0,0,0,0
8341721.0,"Studio meublé à louer en plein CFC, résidence BO52, salle de...",1016.5,65.0,2.0,1.0,1.0,Neighborhood 11,Charlotte,15.638461538461538,0,0,1,0,0
7643066.0,Villa à louer proch maroc telecom,2354.0,290.0,7.0,4.0,3.0,Neighborhood 8,Cincinnati,8.117241379310345,0,0,1,0,0
8341707.0,"Magnifique studio meublé au 11 eme etage, résidence BO52, cu...",1016.5,64.0,2.0,1.0,1.0,Neighborhood 11,Charlotte,15.8828125,0,0,1,0,0
8390396.0,2CH à louer Bd Anoual proche Tramway,556.4,44.0,3.0,2.0,2.0,Neighborhood 16,Charlotte,12.645454545454545,0,0,1,0,0
8014972.0,Studio bien situé quartier des hôpitaux,642.0,39.0,2.0,1.0,1.0,Neighborhood 17,Charlotte,16.46153846153846,0,0,1,0,0
8363919.0,Bureau bien situé quartier Bourgogne,802.5,50.0,2.0,1.0,1.0,Neighborhood 8,Charlotte,16.05,0,0,1,0,0
8387714.0,"Appartement rénové 162 m², terrasse, Racine",1819.0,162.0,4.0,3.0,3.0,Neighborhood 19,Charlotte,11.228395061728396,0,0,1,0,0
8176451.0,Appartement dernier étage sans vis à vis au CFC,1444.5,112.0,4.0,3.0,2.0,Neighborhood 11,Charlotte,12.897321428571429,0,0,1,0,0
8386893.0,"Louez cet appartement à Palmier. 
2 grandes pièces. 
Bien me...",642.0,44.0,2.0,1.0,1.0,Neighborhood 24,Charlotte,14.590909090909092,0,0,1,0,0
7952099.0,Habit immobilier met en location un bel appartement meublé a...,1819.0,220.0,6.0,4.0,2.0,Neighborhood 15,Charlotte,8.268181818181818,0,0,1,0,0
8160717.0,A louer un bureau professionnel bien agencé,1230.5,146.0,,,1.0,Neighborhood 21,Charlotte,8.428082191780822,0,0,1,0,0
8274277.0,Charmante maison a louer Vide,1498.0,300.0,7.0,4.0,3.0,Neighborhood 18,Tucson,4.993333333333333,0,0,1,0,0
8269800.0,A SAISIR. Sublime pavillon a Louer au Waky,1380.3,140.0,4.0,3.0,2.0,Neighborhood 22,Tucson,9.859285714285713,0,0,1,0,0
8390699.0,"Riad, 7 Suites, Hammam 
Kasbah 
Sous Location Possible",6955.0,130.0,8.0,7.0,7.0,Neighborhood 10,Tucson,53.5,0,0,0,0,0
8390695.0,CH Immobilier Appartement meublé à louer,1605.0,135.0,3.0,2.0,2.0,Neighborhood 6,Tucson,11.88888888888889,0,0,1,0,0
8390693.0,Location longue durée – Appartement haut,1444.5,85.0,3.0,2.0,2.0,Neighborhood 4,Tucson,16.99411764705882,0,0,1,0,0
8358930.0,Bel appartement en location à Guéliz. 4 pièces. Meublé,1498.0,85.0,4.0,2.0,1.0,Neighborhood 6,Tucson,17.623529411764707,0,0,1,0,0
8360238.0,Très bel appartement à louer à l’Agdal dans une résidence à...,2461.0,143.0,5.0,2.0,2.0,Neighborhood 1,Tucson,17.20979020979021,0,0,1,0,0
8390688.0,"Bureaux de prestige à louer à Souissi, Rabat – 600 m²",14980.0,600.0,,6.0,3.0,Neighborhood 9,Cincinnati,24.966666666666665,0,0,1,0,0
8390685.0,"Bureaux à louer à Guéliz. 
Surface de 57 m². 
Prestation de...",749.0,57.0,,,1.0,Neighborhood 6,Tucson,13.140350877192983,0,0,1,0,0
8367030.0,Bel appart vide,1926.0,170.0,4.0,3.0,3.0,Neighborhood 1,Nashville,11.329411764705883,0,0,0,0,0
8382421.0,Bel appartement côté CFC,1444.5,100.0,4.0,3.0,2.0,Neighborhood 13,Charlotte,14.445,0,0,1,0,0
7667435.0,"Villa allouer piscine, meublée 4 ch résidence sécurise",1177.0,200.0,8.0,5.0,4.0,,,5.885,0,0,1,0,0
8358644.0,Villa front golf,4815.0,1100.0,5.0,4.0,3.0,Neighborhood 1,Nashville,4.377272727272727,0,0,0,0,0
8271179.0,CFC Superbe bureau neuf de 75 m²,1712.0,85.0,,,1.0,Neighborhood 11,Charlotte,20.141176470588235,0,0,1,0,0
8390505.0,"Louez cet appartement à Souissi. 
2 chambres. 
Parking et te...",1936.7,130.0,3.0,2.0,3.0,Neighborhood 9,Cincinnati,14.897692307692308,0,0,1,0,0
8384989.0,Maison de 212m² au bord de la mer — Jardin & Vue panoramique,374.5,212.0,5.0,4.0,3.0,,,1.7665094339622642,0,0,1,0,0
8384698.0,Ferme à 6 mn de menzeh à louer,1364.25,120.0,,3.0,,,,11.36875,0,0,0,0,0
8390549.0,Très bel appartement meublé à louer – Agdal,1498.0,60.0,2.0,1.0,2.0,Neighborhood 5,Cincinnati,24.966666666666665,0,0,1,0,0
7757214.0,"Loue villa face mer, piscine, courte durée",160.5,500.0,8.0,5.0,3.0,,,0.321,0,0,0,0,0
6957502.0,A loue Superbe appt meuble,695.5,87.0,3.0,1.0,1.0,,,7.994252873563219,0,0,1,0,0
8381977.0,Loue appt meuble 1 ch residence sécurisé,535.0,92.0,3.0,1.0,2.0,,,5.815217391304348,0,0,0,0,0
8389284.0,"LOUER – Appartement Meublé Haut Standing à Mahaj 
Riad",2247.0,100.0,3.0,2.0,3.0,Neighborhood 8,Cincinnati,22.47,0,0,1,0,0
8317807.0,Appartement meublé d’exception à louer – Hay Riad,2889.0,250.0,4.0,3.0,3.0,Neighborhood 8,Cincinnati,11.556,0,0,0,0,0
8334075.0,À louer – Appartement meublé haut standing à Mahaj Riad,1765.5,130.0,4.0,3.0,2.0,Neighborhood 8,Cincinnati,13.580769230769231,0,0,1,0,0
8374297.0,À louer – Splendide appartement de prestige à Hay Riad,2461.0,185.0,5.0,3.0,3.0,Neighborhood 8,Cincinnati,13.302702702702703,0,0,1,0,0
8388601.0,À louer – Magnifique appartement meublé haut standing avec j...,2675.0,256.0,4.0,3.0,3.0,Neighborhood 1,Cincinnati,10.44921875,0,0,0,0,0
8143211.0,Location villa prestige sur boulevard mohamed vi,2675.0,400.0,6.0,4.0,3.0,Neighborhood 1,Tucson,6.6875,0,0,1,0,0
8383577.0,Villa à louer à CIL HAY SALAM,2461.0,200.0,5.0,4.0,2.0,Neighborhood 9,Charlotte,12.305,0,0,1,0,0
8374590.0,Villa à louer sur AIN DIAB EXTENSION,3745.0,537.0,5.0,4.0,2.0,Neighborhood 2,Charlotte,6.973929236499069,0,0,1,0,0
8334916.0,Hangar à louer – investissement stratégique,6420.0,1000.0,,,2.0,Neighborhood 16,Tucson,6.42,0,0,1,0,0
8305083.0,Studio à louer – Emplacement idéal en plein centre ville,535.0,65.0,1.0,1.0,1.0,Neighborhood 14,St. Louis,8.23076923076923,0,0,1,0,0
8355546.0,Magnifique appartement de standing en plein centre ville ave...,1391.0,110.0,3.0,3.0,2.0,Neighborhood 8,St. Louis,12.645454545454545,0,0,1,0,0
8379710.0,Appartement meuble 135M2 REFAIT A NEUF,749.0,135.0,3.0,2.0,1.0,Neighborhood 2,Indianapolis,5.548148148148148,0,0,0,0,0
8390238.0,"Location d'un appartement à Casablanca Finance City. 
Surfac...",2033.0,160.0,4.0,3.0,2.0,Neighborhood 11,Charlotte,12.70625,0,0,1,0,0
8390678.0,CARRÉ ÉDEN bureaux neufs magnifique,749.0,70.0,,,1.0,Neighborhood 6,Tucson,10.7,0,0,1,0,0
8343391.0,"Très bel appartement en location à Guéliz. 
2 grandes pièces...",856.0,68.0,2.0,2.0,1.0,Neighborhood 6,Tucson,12.588235294117647,0,0,0,0,0
8114575.0,Belle appartement 3 chambre vide à Victor Hugo. 110 mètre,909.5,110.0,3.0,3.0,1.0,Neighborhood 4,Tucson,8.268181818181818,0,0,0,0,0
8390682.0,Opportunité exceptionnelle à saisir sur marrakech,1444.5,86.0,3.0,2.0,2.0,Neighborhood 4,Tucson,16.796511627906977,0,0,0,0,0
8380239.0,Location jolie semi cave étage villa vide à Hay Sofia à Targ...,802.5,160.0,2.0,2.0,1.0,Neighborhood 8,Tucson,5.015625,0,0,0,0,0
8390680.0,Opportunity exceptionnelle à saisir sur marrakech,1605.0,120.0,2.0,2.0,2.0,Neighborhood 6,Tucson,13.375,0,0,1,0,0
8387960.0,Appartement meublé bien situé sur agdal,1284.0,130.0,4.0,3.0,2.0,Neighborhood 1,Cincinnati,9.876923076923077,0,0,1,0,0
8370912.0,Appartement en location à Iberie. 2 pièces,802.5,100.0,2.0,2.0,1.0,Neighborhood 10,St. Louis,8.025,0,0,0,0,0
8377185.0,"À deux pas de Marjane, Route de Rabat",428.0,75.0,2.0,2.0,1.0,Neighborhood 13,St. Louis,5.706666666666667,0,0,0,0,0
8389407.0,"Appart à louer 2 Chambres 2 SDB, Terrasse",1337.5,90.0,3.0,2.0,2.0,Neighborhood 1,Tucson,14.86111111111111,0,0,1,0,0
8383652.0,Appartement VIDE à louer sur Dar Bouazza,1819.0,199.0,5.0,3.0,3.0,,,9.140703517587939,0,0,1,0,0
8338227.0,"Villa VIDE à louer 
Dar Bouazza",2675.0,225.0,6.0,4.0,3.0,,,11.88888888888889,0,0,1,0,0
7872393.0,Sublime villa à louer sur Dar Bouazza,3210.0,400.0,6.0,4.0,3.0,,,8.025,0,0,1,0,0
